input,output
B,1
R,18
C,0
J,2
T,0
 ,0
B,0
R,8
>,3
 ,0
>,0
L,0
H,4
>,0
 ,0
J,0
T,0
 ,0
C,0
M,11
J,12
>,0
 ,0
W,1
J,0
T,0
 ,0
>,0
R,0
<,4
>,0
 ,0
 ,0
>,0
R,0
<,4
>,0
 ,0
H,0
W,19
T,10
 ,0
T,0
W,0
H,21
 ,0
W,1
B,0
W,0
H,2
 ,0
W,1
X,0
C,0
W,0
K,4
>,0
 ,0
<,0
L,0
 ,0
>,18
P,2
J,0
 ,0
T,0
H,0
W,0
M,4
>,0
 ,0
W,1
R,0
W,0
X,5
H,0
 ,0
D,1
>,0
L,0
H,4
>,0
 ,0
M,7
R,0
X,0
P,6
>,14
 ,0
<,0
L,0
 ,0
>,18
P,2
J,0
 ,0
M,11
J,12
>,0
 ,0
 ,0
W,1
>,0
M,0
R,3
 ,0
>,0
L,0
H,4
>,0
 ,0
N,7
H,0
W,8
>,3
 ,0
N,0
W,0
H,0
R,4
>,0
 ,0
W,1
H,0
W,8
>,3
 ,0
N,0
W,0
H,0
R,4
>,0
 ,0
 ,0
W,1
X,0
Z,8
>,3
 ,0
>,0
L,0
H,4
>,0
 ,0
L,1
N,0
W,0
H,0
R,4
>,0
 ,0
D,1
C,0
P,0
J,0
R,2
 ,0
W,1
P,0
R,0
C,3
 ,0
>,0
L,0
H,4
>,0
 ,0
B,0
J,11
T,0
 ,0
N,0
W,0
H,0
R,4
>,0
 ,0
L,1
X,0
C,0
W,0
K,4
>,0
 ,0
 ,0
W,1
Q,0
R,8
>,3
 ,0
>,0
L,0
H,4
>,0
 ,0
L,1
N,0
W,0
H,0
R,4
>,0
 ,0
>,0
J,0
M,0
M,4
>,0
 ,0
W,1
L,1
X,0
C,0
W,0
K,4
>,0
 ,0
Q,0
R,8
>,3
 ,0
L,18
L,0
J,4
>,0
 ,0
W,1
H,0
W,8
>,3
 ,0
R,0
M,0
C,4
>,0
 ,0
W,1
H,0
W,8
>,3
 ,0
Y,0
P,0
R,4
>,0
 ,0
J,0
W,0
M,4
>,0
 ,0
X,0
D,2
 ,0
 ,0
W,1
